streaming_log,FTW,Mok2011QoE,Liu2012QoE,Xue2014QoE,Yin2015QoE,Spiteri2016QoE,Bentaleb2016QoE,SQI,P1203,VideoATLAS,KSQI
0061.csv,5.2,9019.87,11.921,0.495,687.486,2.563,65.703,66.0,0.537,59.858,66.04
0062.csv,5.2,9019.87,18.841,0.519,1052.435,3.038,79.208,79.429,0.25,71.225,79.429
0063.csv,4.716,6565.719,33.29,0.506,1777.381,3.639,90.481,90.864,-0.472,69.678,91.0
0064.csv,5.2,9019.87,43.222,0.542,2394.101,3.899,99.105,99.143,-0.727,81.811,99.143
0065.csv,3.759,6849.974,188.003,0.399,9082.788,4.439,60.858,71.172,-0.185,61.182,81.131
0066.csv,3.577,6565.719,242.799,0.373,12163.452,4.328,45.763,62.117,0.553,59.954,75.929
0067.csv,4.163,6849.974,68.199,0.49,3369.034,4.105,89.706,85.531,-0.401,62.059,90.66
0068.csv,4.705,6849.974,114.425,0.547,6093.239,4.799,97.547,95.356,-0.582,71.527,100.0
0069.csv,5.2,9019.87,82.149,0.562,4523.54,4.549,100.0,100.0,-1.072,82.012,100.0
0070.csv,5.2,9019.87,11.921,0.495,687.486,2.563,78.589,78.857,0.516,70.779,78.857
0071.csv,5.2,9019.87,18.841,0.519,1052.435,3.038,89.98,90.143,0.238,78.309,90.143
0072.csv,4.717,6565.719,33.307,0.507,1780.509,3.641,97.511,97.745,-0.437,71.305,97.857
0073.csv,5.2,9019.87,43.222,0.542,2394.101,3.899,87.047,87.143,0.18,76.609,87.143
0074.csv,3.761,6849.974,188.021,0.4,9086.11,4.441,58.146,68.855,-0.145,61.19,78.417
0075.csv,3.58,6565.719,242.826,0.374,12170.646,4.333,44.487,60.989,0.573,60.026,74.5
0076.csv,4.16,6849.974,68.158,0.489,3357.227,4.097,82.342,78.758,-0.004,61.795,83.66
0077.csv,4.706,6849.974,114.429,0.548,6094.922,4.8,93.197,91.175,-0.52,70.857,95.714
0078.csv,4.68,6565.719,75.666,0.53,4114.897,4.357,89.025,84.912,-0.319,70.362,84.374
0079.csv,5.2,9019.87,11.921,0.495,687.486,2.563,55.818,56.0,1.022,51.584,56.04
0080.csv,5.2,9019.87,18.841,0.519,1052.435,3.038,68.666,68.857,0.892,62.351,68.857
0081.csv,5.2,9019.87,33.362,0.508,1790.519,3.648,83.428,83.571,0.301,74.28,83.357
0082.csv,5.2,9019.87,44.643,0.636,2788.446,3.904,87.923,88.0,-0.771,77.12,88.0
0083.csv,4.385,6565.719,195.825,0.395,10565.23,4.453,55.401,63.949,-0.365,67.928,73.391
0084.csv,3.447,6565.719,248.561,0.329,13566.537,4.043,29.637,50.778,0.679,60.026,61.056
0085.csv,3.701,6849.974,73.805,0.544,3981.366,4.123,80.055,74.497,-0.047,60.738,74.606
0086.csv,4.716,6849.974,119.608,0.598,7022.299,4.891,93.901,94.118,-0.545,70.656,94.571
0087.csv,5.2,9019.87,85.736,0.615,5306.421,4.563,93.381,93.429,-0.807,79.876,93.429
0088.csv,5.2,9019.87,11.975,0.644,676.936,2.567,61.656,61.857,0.554,56.303,61.867
0089.csv,5.2,9019.87,19.699,0.65,1141.852,3.068,72.971,73.143,0.264,66.066,73.143
0090.csv,4.552,6565.719,31.257,0.531,1447.752,3.189,66.71,71.112,-0.044,67.237,74.144
0091.csv,5.2,9019.87,44.643,0.636,2788.446,3.904,97.114,97.143,-0.723,81.25,97.143
0092.csv,4.387,6565.719,195.858,0.395,10573.363,4.458,60.676,68.307,-0.413,68.553,78.391
0093.csv,3.44,6565.719,248.487,0.327,13544.955,4.028,33.378,54.046,0.666,59.819,65.341
0094.csv,3.699,6849.974,73.783,0.543,3975.522,4.119,86.686,87.522,-0.216,60.757,90.517
0095.csv,4.717,6849.974,119.614,0.599,7024.943,4.893,99.446,99.559,-0.623,71.579,100.0
0096.csv,5.2,9019.87,85.736,0.615,5306.421,4.563,99.705,99.714,-1.073,81.947,99.714
0097.csv,5.2,9019.87,11.975,0.644,676.936,2.567,73.78,74.0,0.533,66.796,74.0
0098.csv,5.2,9019.87,19.699,0.65,1141.852,3.068,85.256,85.429,0.229,75.53,85.429
0099.csv,4.556,6565.719,31.34,0.533,1465.268,3.201,77.522,79.766,-0.02,70.6,83.379
0100.csv,5.2,9019.87,44.643,0.636,2788.446,3.904,77.647,77.714,0.176,69.87,77.714
0101.csv,4.383,6565.719,195.784,0.394,10555.221,4.446,54.265,63.149,-0.362,67.746,72.534
0102.csv,3.446,6565.719,248.55,0.329,13563.409,4.041,29.121,47.756,0.679,60.041,57.689
0103.csv,3.698,6849.974,73.78,0.543,3976.121,4.119,73.492,69.794,0.133,60.673,68.177
0104.csv,4.716,6849.974,119.611,0.598,7023.741,4.892,90.023,90.298,-0.552,69.575,90.714
0105.csv,5.2,9019.87,85.736,0.615,5306.421,4.563,86.923,87.0,-0.547,76.522,87.0
0106.csv,5.2,9019.87,11.975,0.644,676.936,2.567,40.637,40.857,1.021,42.527,40.986
0107.csv,5.2,9019.87,19.699,0.65,1141.852,3.068,54.865,55.143,0.902,50.937,55.194
0108.csv,4.555,6565.719,31.316,0.532,1460.264,3.198,56.277,62.291,0.613,60.985,64.339
0109.csv,5.2,9019.87,48.105,0.447,2822.659,3.989,82.884,83.286,-0.781,74.081,82.857
0110.csv,4.052,6565.719,183.232,0.411,9705.153,4.923,80.826,78.185,-0.272,61.746,79.463
0111.csv,3.504,6565.719,248.784,0.302,14220.08,4.16,38.217,54.291,0.619,59.735,64.341
0112.csv,3.659,6849.974,75.062,0.393,4065.922,4.102,76.173,73.297,-0.063,60.725,72.547
0113.csv,5.2,9019.87,101.358,0.482,6002.077,4.732,95.275,95.429,-0.821,80.669,95.429
0114.csv,5.2,9019.87,89.828,0.468,5020.008,4.621,93.228,93.429,-0.809,79.876,93.429
0115.csv,5.2,9019.87,12.693,0.413,742.448,2.612,43.701,44.429,0.545,44.159,44.42
0116.csv,5.2,9019.87,19.618,0.429,1092.468,3.064,57.521,58.0,0.263,53.142,57.964
0117.csv,4.555,6565.719,31.746,0.353,1437.081,3.218,56.753,62.951,-0.017,61.475,64.839
0118.csv,5.2,9019.87,48.105,0.447,2822.659,3.989,93.694,94.0,-0.735,80.115,94.0
0119.csv,4.054,6565.719,183.264,0.412,9711.722,4.927,83.229,80.245,-0.32,61.767,81.606
0120.csv,3.501,6565.719,248.751,0.301,14210.696,4.154,39.012,55.044,0.597,59.682,65.341
0121.csv,4.198,6849.974,73.269,0.415,4207.941,4.253,91.139,88.471,-0.419,62.068,88.946
0122.csv,5.2,9019.87,101.358,0.482,6002.077,4.732,99.381,99.429,-1.052,81.88,99.429
0123.csv,5.2,9019.87,89.828,0.468,5020.008,4.621,98.628,98.714,-1.071,81.701,98.714
0124.csv,5.2,9019.87,12.693,0.413,742.448,2.612,56.272,57.143,0.518,52.466,56.811
0125.csv,5.2,9019.87,19.618,0.429,1092.468,3.064,71.788,72.286,0.229,65.33,72.149
0126.csv,4.557,6565.719,31.795,0.354,1447.403,3.225,69.822,73.803,0.01,68.417,76.3
0127.csv,5.2,9019.87,48.105,0.447,2822.659,3.989,73.969,74.429,0.147,67.158,74.066
0128.csv,4.05,6565.719,183.211,0.411,9700.774,4.92,76.704,74.41,-0.284,61.614,75.463
0129.csv,3.5,6565.719,248.739,0.301,14207.255,4.152,35.678,52.513,0.621,59.827,62.199
0130.csv,3.656,6849.974,75.038,0.393,4061.734,4.099,67.976,66.439,0.122,60.619,64.463
0131.csv,5.2,9019.87,101.358,0.482,6002.077,4.732,87.513,87.714,-0.614,76.952,87.5
0132.csv,5.2,9019.87,89.828,0.468,5020.008,4.621,85.161,85.429,-0.556,75.53,85.214
0133.csv,5.2,9019.87,12.693,0.413,742.448,2.612,38.225,38.857,1.019,41.761,38.88
0134.csv,5.2,9019.87,19.618,0.429,1092.468,3.064,49.017,49.429,0.951,46.995,49.497
0135.csv,4.553,6565.719,31.709,0.353,1429.262,3.213,48.649,56.641,0.591,55.705,58.153
0136.csv,5.2,9019.87,46.939,0.337,2392.155,3.993,90.914,91.0,-0.769,78.749,91.0
0137.csv,3.265,6565.719,199.381,0.253,8233.68,4.495,58.841,69.646,0.025,60.701,79.274
0138.csv,2.367,6565.719,242.772,0.218,11755.958,4.246,42.187,51.521,0.676,60.738,57.17
0139.csv,4.428,6565.719,69.849,0.259,2565.895,3.621,63.812,70.89,-0.373,70.184,79.274
0140.csv,5.2,9019.87,100.448,0.341,5765.204,4.742,98.095,98.143,-0.818,81.546,98.143
0141.csv,4.661,6565.719,84.835,0.322,4116.066,4.435,91.51,88.631,-0.519,71.255,88.946
0142.csv,5.2,9019.87,11.95,0.335,586.087,2.631,45.294,45.571,0.562,44.752,45.693
0143.csv,5.2,9019.87,17.725,0.334,985.003,3.011,60.951,61.286,0.277,55.824,61.297
0144.csv,3.362,6565.719,29.235,0.26,576.43,2.872,53.491,61.629,0.382,60.645,64.889
0145.csv,5.2,9019.87,46.939,0.337,2392.155,3.993,98.686,98.714,-0.725,81.701,98.714
0146.csv,3.078,6565.719,206.253,0.225,8695.8,4.198,47.08,62.392,0.108,60.642,75.929
0147.csv,2.34,6565.719,242.466,0.214,11671.505,4.188,41.585,52.503,0.673,60.738,58.884
0148.csv,3.997,6565.719,67.812,0.287,3128.031,3.896,79.121,79.002,-0.377,61.994,81.606
0149.csv,5.2,9019.87,100.448,0.341,5765.204,4.742,100.0,100.0,-1.014,82.012,100.0
0150.csv,4.657,6565.719,84.75,0.32,4099.8,4.424,92.962,90.276,-0.737,71.482,90.803
0151.csv,5.2,9019.87,11.95,0.335,586.087,2.631,53.379,53.714,0.529,49.889,53.811
0152.csv,5.2,9019.87,17.725,0.334,985.003,3.011,73.58,73.857,0.239,66.674,73.857
0153.csv,3.368,6565.719,29.296,0.261,590.818,2.882,63.54,69.193,0.392,60.738,73.409
0154.csv,5.2,9019.87,46.939,0.337,2392.155,3.993,80.714,80.857,0.168,72.317,80.857
0155.csv,3.076,6565.719,206.235,0.225,8691.108,4.195,46.949,62.365,0.145,60.642,75.929
0156.csv,2.374,6565.719,242.849,0.219,11776.915,4.261,44.524,53.018,0.673,60.738,58.884
0157.csv,3.996,6565.719,67.796,0.287,3124.59,3.893,71.644,72.954,0.009,61.717,74.32
0158.csv,5.2,9019.87,100.448,0.341,5765.204,4.742,93.856,94.0,-0.653,80.115,94.0
0159.csv,4.664,6565.719,84.884,0.322,4125.449,4.442,86.296,83.432,-0.307,70.092,83.517
0160.csv,5.2,9019.87,11.95,0.335,586.087,2.631,21.122,21.429,1.024,39.493,21.634
0161.csv,5.2,9019.87,17.725,0.334,985.003,3.011,38.331,38.714,0.924,41.711,38.849
0162.csv,3.364,6565.719,29.255,0.26,581.122,2.875,40.792,53.057,0.849,60.323,54.19
0163.csv,5.2,9019.87,47.445,0.348,2852.687,3.979,88.98,89.143,-0.777,77.77,89.143
0164.csv,3.883,7134.229,175.113,0.263,9380.233,4.358,65.272,66.982,-0.134,61.485,82.44
0165.csv,2.178,5363.179,233.643,0.234,12928.9,4.269,45.01,55.252,0.78,60.738,60.764
0166.csv,3.992,7134.229,69.285,0.276,3361.073,3.696,70.272,69.253,-0.119,61.731,81.807
0167.csv,4.673,7134.229,103.701,0.319,5636.192,4.483,89.037,86.014,-0.394,70.844,97.143
0168.csv,4.689,6565.719,79.935,0.344,4500.874,4.437,91.705,93.967,-0.57,70.788,95.286
0169.csv,4.704,6849.974,11.896,0.326,578.088,2.501,47.668,46.807,0.65,44.973,50.611
0170.csv,5.2,9019.87,18.781,0.339,1101.878,3.041,64.446,64.714,0.255,58.743,64.621
0171.csv,2.532,5647.434,25.194,0.24,302.806,2.493,36.18,52.739,0.757,60.738,56.663
0172.csv,5.2,9019.87,47.445,0.348,2852.687,3.979,97.657,97.714,-0.733,81.423,97.714
0173.csv,3.909,7134.229,175.425,0.267,9447.345,4.404,68.825,71.65,-0.192,61.509,86.95
0174.csv,2.198,5363.179,233.898,0.238,12997.402,4.316,47.978,59.23,0.749,60.738,65.617
0175.csv,3.991,7134.229,69.268,0.276,3359.433,3.695,75.433,73.773,-0.291,61.877,86.95
0176.csv,4.672,7134.229,103.677,0.318,5625.858,4.476,91.798,88.572,-0.556,71.221,100.0
0177.csv,4.682,6565.719,79.773,0.341,4470.533,4.416,95.727,98.28,-0.789,71.536,100.0
0178.csv,4.704,6849.974,11.896,0.326,578.088,2.501,60.24,59.118,0.637,53.187,63.153
0179.csv,5.2,9019.87,18.781,0.339,1101.878,3.041,78.303,78.571,0.23,70.553,78.571
0180.csv,2.539,5647.434,25.271,0.241,321.959,2.506,47.821,60.272,0.759,60.738,65.649
0181.csv,5.2,9019.87,47.445,0.348,2852.687,3.979,80.275,80.429,0.157,71.993,80.429
0182.csv,3.911,7134.229,175.443,0.267,9448.146,4.405,66.244,69.447,-0.166,61.49,84.379
0183.csv,2.184,5363.179,233.715,0.235,12948.294,4.283,45.275,57.903,0.777,60.738,64.331
0184.csv,3.99,7134.229,69.254,0.276,3360.052,3.695,64.277,64.113,0.092,61.253,75.95
0185.csv,4.673,7134.229,103.699,0.319,5635.471,4.482,84.595,81.844,-0.255,69.83,92.714
0186.csv,4.682,6565.719,79.778,0.341,4471.471,4.417,85.409,88.321,-0.328,69.23,89.857
0187.csv,4.704,6849.974,11.896,0.326,578.088,2.501,35.288,34.636,1.041,39.957,38.207
0188.csv,5.2,9019.87,18.781,0.339,1101.878,3.041,51.122,51.429,0.978,48.296,51.486
0189.csv,4.023,6565.719,27.605,0.296,1062.223,3.084,49.5,52.123,0.766,57.494,50.44
0190.csv,5.2,9019.87,42.719,0.373,2332.175,3.886,98.638,98.714,-0.763,81.701,98.714
0191.csv,3.984,7134.229,155.661,0.313,7451.086,4.55,76.274,77.549,-0.18,61.65,86.807
0192.csv,3.565,6565.719,239.688,0.248,11995.046,4.285,44.572,61.787,0.597,59.949,75.786
0193.csv,3.958,7134.229,68.912,0.299,2796.572,3.722,73.754,76.455,-0.192,61.893,86.521
0194.csv,4.684,7134.229,118.927,0.355,6182.032,4.69,93.633,92.494,-0.432,71.335,99.857
0195.csv,4.211,6849.974,79.224,0.361,4022.806,4.359,93.439,90.132,-0.28,62.098,90.374
0196.csv,4.716,6849.974,11.815,0.356,637.091,2.526,75.062,75.499,0.623,62.294,75.857
0197.csv,5.2,9019.87,17.257,0.361,918.469,2.961,86.427,86.714,0.269,76.346,86.714
0198.csv,4.719,6849.974,31.627,0.37,1653.666,3.593,97.171,97.31,-0.35,71.236,97.429
0199.csv,5.2,9019.87,42.719,0.373,2332.175,3.886,100.0,100.0,-0.72,82.012,100.0
0200.csv,3.983,7134.229,155.643,0.313,7448.893,4.548,76.346,77.667,-0.287,61.649,86.95
0201.csv,3.567,6565.719,239.704,0.248,11999.425,4.288,44.856,61.929,0.574,59.943,75.929
0202.csv,3.96,7134.229,68.928,0.299,2797.972,3.723,74.313,76.837,-0.369,61.896,86.95
0203.csv,4.685,7134.229,118.946,0.356,6189.963,4.695,93.942,92.734,-0.488,71.358,100.0
0204.csv,4.221,6849.974,79.353,0.363,4048.02,4.376,94.615,90.809,-0.483,62.107,90.803
0205.csv,4.716,6849.974,11.811,0.356,635.408,2.525,86.193,86.567,0.599,68.196,87.0
0206.csv,5.2,9019.87,17.257,0.361,918.469,2.961,95.018,95.143,0.258,80.563,95.143
0207.csv,4.719,6849.974,31.623,0.37,1651.984,3.592,99.817,99.854,-0.313,71.586,100.0
0208.csv,5.2,9019.87,42.719,0.373,2332.175,3.886,93.495,93.571,0.169,79.936,93.571
0209.csv,3.984,7134.229,155.662,0.314,7455.648,4.553,76.168,77.476,-0.196,61.652,86.664
0210.csv,3.566,6565.719,239.697,0.248,11997.548,4.286,44.803,61.918,0.597,59.942,75.929
0211.csv,3.961,7134.229,68.944,0.299,2798.219,3.723,72.328,75.053,0.027,61.867,84.95
0212.csv,4.684,7134.229,118.938,0.356,6186.838,4.693,93.56,92.421,-0.489,71.324,99.714
0213.csv,4.212,6849.974,79.24,0.361,4023.652,4.36,92.203,88.875,-0.073,62.075,89.089
0214.csv,4.716,6849.974,11.808,0.356,634.447,2.524,60.899,61.399,1.037,52.632,61.714
0215.csv,5.2,9019.87,17.257,0.361,918.469,2.961,72.732,73.0,0.949,65.943,73.0
0216.csv,4.719,6849.974,31.62,0.37,1651.023,3.591,90.256,90.426,0.425,69.539,90.227
0217.csv,5.2,9019.87,44.213,0.343,2648.74,3.906,91.666,91.714,-0.766,79.098,91.714
0218.csv,3.329,6565.719,194.46,0.267,10643.986,4.555,63.167,70.724,0.034,60.663,79.274
0219.csv,2.458,5363.179,250.125,0.274,14558.547,4.866,65.967,74.438,0.64,60.738,82.154
0220.csv,3.812,6849.974,74.203,0.325,4174.562,4.27,90.103,94.085,-0.057,60.759,96.857
0221.csv,4.719,6849.974,118.652,0.347,6917.376,4.902,96.957,97.035,-0.554,71.187,97.143
0222.csv,5.2,9019.87,88.266,0.344,5493.561,4.59,96.809,96.857,-0.809,81.16,96.857
0223.csv,5.2,9019.87,12.063,0.339,681.821,2.566,66.685,66.857,0.555,60.604,66.867
0224.csv,5.2,9019.87,19.654,0.341,1124.238,3.056,77.418,77.571,0.268,69.755,77.571
0225.csv,4.645,6565.719,32.655,0.321,1772.993,3.447,82.078,80.672,-0.248,69.379,81.374
0226.csv,5.2,9019.87,44.213,0.343,2648.74,3.906,99.705,99.714,-0.726,81.947,99.714
0227.csv,3.338,6565.719,194.558,0.269,10667.132,4.571,65.708,75.491,-0.004,60.658,84.011
0228.csv,2.469,5363.179,250.231,0.276,14582.944,4.883,68.542,76.267,0.608,60.738,84.011
0229.csv,3.812,6849.974,74.2,0.325,4174.105,4.27,93.277,97.135,-0.233,60.762,100.0
0230.csv,4.719,6849.974,118.653,0.347,6917.856,4.902,99.87,99.897,-0.631,71.587,100.0
0231.csv,5.2,9019.87,88.266,0.344,5493.561,4.59,100.0,100.0,-1.078,82.012,100.0
0232.csv,5.2,9019.87,12.063,0.339,681.821,2.566,79.256,79.429,0.534,71.225,79.429
0233.csv,5.2,9019.87,19.654,0.341,1124.238,3.056,89.304,89.429,0.246,77.927,89.429
0234.csv,4.649,6565.719,32.728,0.322,1787.069,3.457,91.071,89.097,-0.223,71.361,89.946
0235.csv,5.2,9019.87,44.213,0.343,2648.74,3.906,82.666,82.714,0.182,73.677,82.714
0236.csv,2.93,6565.719,194.275,0.265,10599.882,4.525,62.795,71.16,0.199,60.733,80.131
0237.csv,2.394,5363.179,249.467,0.264,14403.402,4.76,62.946,74.41,0.691,60.738,83.44
0238.csv,3.81,6849.974,74.189,0.325,4172.155,4.269,84.458,88.651,0.121,60.732,91.286
0239.csv,4.719,6849.974,118.651,0.347,6917.135,4.902,94.476,94.606,-0.557,70.699,94.714
0240.csv,5.2,9019.87,88.266,0.344,5493.561,4.59,91.543,91.571,-0.556,79.03,91.571
0241.csv,5.2,9019.87,12.063,0.339,681.821,2.566,44.627,44.857,1.02,44.377,44.897
0242.csv,5.2,9019.87,19.654,0.341,1124.238,3.056,59.161,59.429,0.902,54.291,59.45
0243.csv,4.642,6565.719,32.58,0.32,1758.292,3.437,71.887,71.889,0.501,64.938,71.446
0244.csv,5.2,9019.87,47.763,0.347,2678.606,3.981,93.904,94.143,-0.774,80.173,94.143
0245.csv,3.708,6849.974,180.117,0.326,9194.772,4.989,87.583,81.39,-0.085,60.723,81.463
0246.csv,2.612,6565.719,245.966,0.221,13039.288,4.2,40.6,61.061,0.817,60.727,75.929
0247.csv,3.656,6849.974,74.185,0.309,3874.745,4.058,83.219,79.077,-0.047,60.755,80.32
0248.csv,4.71,6849.974,100.12,0.346,5559.341,4.665,97.725,98.115,-0.513,71.487,99.429
0249.csv,5.2,9019.87,89.938,0.353,4786.703,4.618,99.095,99.143,-0.806,81.811,99.143
0250.csv,5.2,9019.87,12.766,0.339,723.869,2.623,55.644,56.286,0.545,51.803,56.15
0251.csv,5.2,9019.87,20.115,0.34,1061.932,3.082,70.208,70.571,0.268,63.846,70.581
0252.csv,4.576,6565.719,31.613,0.301,1440.294,3.264,72.597,74.839,-0.07,68.666,77.073
0253.csv,5.2,9019.87,47.763,0.347,2678.606,3.981,98.771,98.857,-0.736,81.738,98.857
0254.csv,3.723,6849.974,180.266,0.327,9214.858,5.003,88.461,81.659,-0.131,60.723,81.606
0255.csv,2.583,6565.719,245.658,0.216,12952.332,4.14,38.175,60.577,0.82,60.727,75.929
0256.csv,3.656,6849.974,74.184,0.309,3872.631,4.057,84.544,80.253,-0.216,60.755,81.606
0257.csv,4.71,6849.974,100.113,0.345,5556.217,4.663,98.267,98.633,-0.715,71.55,100.0
0258.csv,5.2,9019.87,89.938,0.353,4786.703,4.618,100.0,100.0,-1.064,82.012,100.0
0259.csv,5.2,9019.87,12.766,0.339,723.869,2.623,68.444,69.143,0.529,62.6,68.847
0260.csv,5.2,9019.87,20.115,0.34,1061.932,3.082,83.408,83.714,0.241,74.379,83.714
0261.csv,4.576,6565.719,31.613,0.301,1440.294,3.264,80.407,81.03,-0.035,70.791,83.606
0262.csv,5.2,9019.87,47.763,0.347,2678.606,3.981,82.941,83.286,0.166,74.081,83.071
0263.csv,3.723,6849.974,180.264,0.327,9214.954,5.003,87.504,80.845,-0.107,60.724,80.749
