streaming_log,FTW,Mok2011QoE,Liu2012QoE,Xue2014QoE,Yin2015QoE,Spiteri2016QoE,Bentaleb2016QoE,SQI,P1203,VideoATLAS,KSQI
042.csv,3.348,5931.689,15.45,0.271,-274.239,2.349,32.487,24.536,0.693,60.524,58.721
043.csv,3.285,5931.689,15.919,0.238,-334.904,2.291,27.391,24.857,0.689,60.553,59.897
044.csv,3.182,5931.689,43.883,0.301,1765.464,3.334,58.933,43.393,0.47,60.735,78.489
045.csv,3.035,5931.689,44.271,0.252,1873.053,3.163,46.297,41.23,0.586,60.734,78.463
046.csv,4.663,7134.229,54.987,0.37,2800.778,3.82,81.334,65.386,-0.222,68.434,91.37
047.csv,2.458,5931.689,43.628,0.169,1274.794,2.77,18.029,24.351,0.816,60.738,68.986
048.csv,4.663,7134.229,59.251,0.379,2899.473,3.888,81.765,65.736,-0.223,68.562,91.775
049.csv,2.545,5931.689,41.434,0.133,367.239,2.187,-6.61,5.118,0.927,60.734,47.125
050.csv,2.966,5931.689,45.398,0.145,724.437,2.365,-0.296,11.047,0.761,60.671,57.291
051.csv,2.771,5931.689,51.165,0.091,888.868,2.147,-25.588,0.151,0.948,60.676,50.761
052.csv,4.649,7134.229,78.069,0.392,4059.028,4.07,82.107,65.848,-0.169,68.799,94.538
053.csv,3.036,5931.689,41.421,0.174,474.373,2.349,5.544,11.007,0.865,60.644,54.611
054.csv,2.367,5931.689,50.53,0.087,510.979,2.023,-30.931,-0.083,0.981,60.735,48.787
055.csv,2.814,5931.689,50.724,0.112,913.458,2.147,-20.815,-0.543,0.942,60.667,49.064
056.csv,2.181,5931.689,51.577,0.028,240.765,1.521,-64.848,-14.731,1.114,60.735,30.312
057.csv,4.169,5931.689,89.097,0.407,4817.351,4.175,81.539,66.029,-0.01,61.589,95.197
058.csv,3.057,5931.689,-5.901,0.27,-1164.331,0.357,-35.944,-7.851,1.072,60.687,1.052
059.csv,4.24,5647.434,5.204,0.447,-36.538,1.746,15.771,21.724,0.941,51.386,23.053
060.csv,4.694,6849.974,11.152,0.468,32.402,2.197,34.736,30.255,0.877,38.341,40.397
061.csv,4.71,6849.974,11.682,0.509,339.924,2.333,42.138,43.589,0.74,41.883,45.188
062.csv,4.714,6849.974,12.896,0.506,271.487,2.387,40.503,41.876,0.786,41.492,42.803
063.csv,4.712,6849.974,13.481,0.501,329.527,2.431,43.085,44.392,0.773,42.406,45.716
064.csv,4.71,6849.974,16.076,0.495,599.728,2.534,45.618,47.185,0.814,43.609,48.881
065.csv,4.712,6849.974,17.477,0.506,762.566,2.584,46.299,47.77,0.81,44.034,49.161
066.csv,4.714,6849.974,22.391,0.508,1044.771,2.722,48.031,49.442,0.814,44.988,50.703
067.csv,4.682,7134.229,4.257,0.431,-36.068,1.656,26.442,23.723,0.877,35.741,34.229
068.csv,4.682,7134.229,8.464,0.448,152.042,2.159,44.791,40.463,0.668,43.19,52.412
069.csv,4.682,7134.229,9.967,0.459,290.521,2.245,46.181,41.813,0.679,44.191,53.902
070.csv,2.62,5931.689,3.828,0.082,-2456.068,0.62,-76.247,-7.97,1.286,59.963,24.022
071.csv,4.668,7134.229,5.462,0.411,-21.882,1.822,38.465,35.403,0.781,39.461,47.902
072.csv,3.228,5931.689,3.367,0.36,-385.751,1.757,25.524,37.565,0.972,60.684,54.491
073.csv,2.448,6215.944,-9.263,0.135,-2818.769,-0.494,-56.041,-21.513,1.07,60.738,0.085
074.csv,4.65,7134.229,5.243,0.383,-168.828,1.774,37.538,29.167,0.763,39.686,49.991
075.csv,4.668,7134.229,17.747,0.458,640.137,2.721,65.02,58.307,0.548,59.302,74.432
076.csv,4.692,6849.974,12.416,0.475,526.74,2.557,61.278,54.838,0.423,54.607,66.374
077.csv,4.688,6849.974,14.965,0.467,659.306,2.693,63.605,57.246,0.433,56.85,69.539
078.csv,4.694,6849.974,20.41,0.526,938.417,3.015,71.62,64.303,0.278,61.873,76.273
079.csv,4.692,6849.974,21.506,0.509,1045.72,3.04,72.764,65.458,0.304,62.88,77.948
080.csv,4.211,5647.434,20.457,0.485,924.492,2.957,68.476,63.684,0.413,59.563,77.948
081.csv,4.692,6849.974,24.493,0.503,1153.075,3.157,73.586,66.208,0.225,63.391,78.756
082.csv,4.163,5647.434,32.953,0.47,1347.932,3.247,66.239,64.546,0.349,59.999,80.626
083.csv,4.692,6849.974,24.961,0.483,1128.736,3.179,73.779,66.335,0.134,63.477,78.893
084.csv,4.692,6849.974,31.117,0.488,1540.133,3.344,75.585,68.028,0.124,64.577,80.715
085.csv,4.699,6849.974,30.257,0.498,1408.686,3.394,77.742,70.325,-0.04,65.406,81.216
086.csv,3.172,5647.434,13.54,0.264,-450.776,2.192,9.018,18.473,0.716,60.377,44.217
087.csv,4.706,6849.974,48.845,0.489,2444.462,3.849,81.953,81.916,-0.084,67.057,84.44
088.csv,3.099,5647.434,40.962,0.331,1568.208,3.247,45.306,39.811,0.606,60.731,58.688
089.csv,2.615,5647.434,38.305,0.186,317.407,2.523,-3.382,22.161,0.884,60.731,51.697
090.csv,4.708,6849.974,68.101,0.532,3219.06,4.145,85.562,85.329,-0.103,68.503,87.688
091.csv,2.646,5647.434,49.205,0.071,-54.43,1.919,-50.013,-4.632,1.057,60.621,35.822
092.csv,4.67,7134.229,21.377,0.477,927.6,2.961,70.672,63.199,0.232,62.966,79.307
093.csv,3.126,5931.689,21.775,0.32,569.342,2.73,46.125,46.42,0.497,60.729,71.068
094.csv,4.679,7134.229,28.071,0.443,1330.492,3.254,75.872,68.067,-0.175,65.567,82.682
095.csv,4.679,7134.229,33.441,0.465,1568.322,3.414,78.963,70.705,-0.197,67.027,86.004
096.csv,4.679,7134.229,36.302,0.456,1878.358,3.47,79.2,70.934,-0.207,67.142,86.258
097.csv,4.208,5931.689,34.621,0.459,1626.449,3.422,76.839,70.19,-0.058,61.014,86.363
098.csv,3.461,5931.689,14.2,0.318,-35.088,2.287,36.086,31.698,0.706,60.324,63.39
099.csv,3.431,5931.689,13.889,0.304,-115.661,2.266,33.172,17.103,0.677,60.319,49.779
100.csv,3.361,5931.689,16.751,0.288,-60.998,2.389,29.686,19.208,0.625,60.432,53.225
101.csv,3.266,5931.689,16.795,0.277,-219.18,2.275,22.467,19.795,0.673,60.48,55.474
102.csv,2.877,5931.689,43.188,0.342,1814.565,3.302,55.497,41.424,0.571,60.738,75.344
103.csv,2.601,5931.689,43.118,0.256,1475.948,2.975,31.121,24.798,0.689,60.738,58.947
104.csv,4.666,7134.229,55.212,0.42,2939.434,3.823,79.599,70.946,-0.213,67.807,88.875
105.csv,3.614,5931.689,64.193,0.374,3107.919,3.75,65.414,53.467,0.247,60.693,78.552
106.csv,2.746,5931.689,42.677,0.216,790.86,2.715,14.533,20.984,0.665,60.733,56.7
107.csv,3.083,5931.689,66.139,0.327,3066.378,3.577,51.456,50.485,0.49,60.735,78.893
108.csv,2.667,5931.689,39.89,0.205,627.155,2.532,4.422,2.489,0.797,60.732,38.927
109.csv,2.282,5931.689,39.482,0.166,435.577,2.352,-7.458,-0.437,0.896,60.738,34.382
110.csv,2.039,5931.689,40.729,0.083,-196.867,1.76,-49.47,-10.302,1.083,60.738,26.055
111.csv,3.287,7134.229,54.474,0.103,1035.79,2.24,-30.655,13.791,0.854,60.598,60.11
112.csv,4.673,7134.229,75.1,0.468,4122.173,4.165,84.125,74.998,-0.232,69.104,92.035
113.csv,2.662,5931.689,39.163,0.206,310.214,2.473,1.854,6.872,0.843,60.731,40.865
114.csv,3.018,5931.689,47.471,0.184,594.578,2.534,-0.629,12.717,0.741,60.581,49.84
115.csv,3.178,7134.229,49.738,0.066,-106.893,1.86,-50.436,2.662,0.978,60.337,51.605
116.csv,2.157,5931.689,50.346,0.029,-406.032,1.544,-72.421,-15.639,1.114,60.735,25.106
117.csv,3.409,5931.689,86.968,0.457,4614.801,4.216,78.872,73.851,0.251,60.736,93.449
118.csv,2.655,5931.689,-7.315,0.157,-1419.314,0.2,-48.283,-10.373,1.073,60.738,0.0
119.csv,4.711,6849.974,14.531,0.347,416.975,2.503,36.165,37.929,0.782,39.993,38.811
120.csv,4.711,6849.974,14.378,0.344,114.477,2.378,26.364,29.213,0.904,38.804,28.912
121.csv,4.676,7134.229,4.666,0.296,-15.471,1.696,16.945,15.229,0.878,35.428,25.021
122.csv,4.635,7134.229,5.479,0.245,-245.953,1.761,22.006,17.247,0.809,32.841,37.048
123.csv,4.198,5931.689,17.889,0.329,629.978,2.719,48.962,38.124,0.614,53.982,60.06
124.csv,4.681,7134.229,15.355,0.334,626.91,2.687,49.201,43.968,0.418,45.898,56.557
125.csv,4.155,5931.689,25.435,0.319,1066.713,3.056,52.836,52.456,0.357,56.614,68.297
126.csv,4.695,6849.974,31.0,0.333,1574.762,3.392,64.568,57.758,-0.034,56.801,69.553
127.csv,3.382,5931.689,17.178,0.192,-42.453,2.375,19.81,25.999,0.634,59.929,55.93
128.csv,4.695,6849.974,5.43,0.476,15.776,1.783,22.283,19.308,0.925,36.897,27.78
129.csv,4.675,7134.229,11.234,0.466,249.126,2.291,43.998,40.284,0.734,43.023,53.213
130.csv,4.644,7134.229,4.903,0.389,-245.007,1.721,29.645,23.039,0.811,35.484,43.521
131.csv,2.614,6215.944,-10.268,0.089,-3802.626,-1.111,-77.898,-31.149,1.101,60.689,0.0
132.csv,4.678,7134.229,12.33,0.468,467.472,2.495,53.866,48.442,0.439,49.813,61.637
133.csv,4.682,7134.229,19.769,0.518,906.306,2.938,63.024,56.598,0.341,56.751,70.142
134.csv,4.678,7134.229,24.552,0.496,1027.161,3.086,65.322,58.689,0.282,58.846,73.454
135.csv,4.674,7134.229,24.374,0.488,986.785,3.058,64.571,58.065,0.295,58.66,73.454
136.csv,4.701,6849.974,47.634,0.501,2462.777,3.831,75.232,67.965,-0.103,63.828,79.463
137.csv,2.596,5931.689,49.973,0.173,1180.734,2.48,-4.294,4.678,0.882,60.732,44.148
138.csv,4.71,6849.974,12.467,0.198,599.717,2.408,16.228,18.043,0.798,40.112,18.905
139.csv,4.687,6849.974,12.411,0.156,-4.845,2.267,6.93,5.447,0.883,39.378,13.689
140.csv,4.675,7134.229,9.611,0.161,194.707,2.254,6.203,5.836,0.672,38.332,14.717
141.csv,4.666,7134.229,15.991,0.184,410.228,2.675,16.523,16.542,0.6,34.342,27.106
142.csv,3.721,6849.974,13.297,0.111,-493.107,2.244,-29.013,9.202,0.75,46.911,19.554
143.csv,4.674,7134.229,15.601,0.178,664.242,2.678,18.72,17.169,0.439,34.921,27.402
144.csv,4.679,7134.229,32.004,0.185,1413.034,3.353,35.528,31.819,0.18,37.857,43.53
145.csv,3.876,7134.229,22.006,0.078,156.131,2.435,-2.521,6.771,0.667,47.585,35.472
146.csv,2.028,5931.689,41.758,0.014,-360.443,1.604,-84.123,-14.852,1.111,60.738,6.459
147.csv,3.628,5931.689,95.465,0.161,5111.277,4.071,48.452,45.809,0.268,60.234,73.765
148.csv,2.577,5931.689,-8.375,0.169,-1625.481,0.09,-58.665,-11.751,1.077,60.738,0.0
149.csv,4.697,6849.974,6.045,0.374,21.978,1.841,13.877,10.767,0.945,38.529,18.932
150.csv,4.687,6849.974,12.497,0.373,-151.061,2.169,18.773,17.203,0.981,36.197,25.754
151.csv,4.71,6849.974,12.976,0.427,492.05,2.428,35.08,36.829,0.755,39.614,38.082
152.csv,4.71,6849.974,17.298,0.426,709.386,2.596,39.229,40.853,0.857,40.805,42.358
153.csv,4.71,6849.974,19.311,0.412,899.783,2.644,40.207,41.755,0.831,41.137,43.284
154.csv,4.71,6849.974,14.332,0.41,118.078,2.382,25.542,28.567,0.908,38.675,28.468
155.csv,4.711,6849.974,21.476,0.42,897.837,2.723,41.416,43.006,0.833,41.73,44.214
156.csv,4.71,6849.974,23.63,0.424,1089.742,2.756,42.364,43.927,0.838,42.031,45.514
157.csv,4.71,6849.974,27.728,0.413,1184.59,2.843,42.613,44.187,0.838,42.146,45.781
158.csv,4.676,7134.229,4.964,0.352,7.129,1.727,11.981,10.957,0.877,36.494,20.329
159.csv,4.676,7134.229,9.739,0.369,252.556,2.229,31.705,28.722,0.655,36.448,40.362
160.csv,4.676,7134.229,12.098,0.379,307.143,2.361,34.355,31.259,0.744,37.468,43.219
161.csv,2.64,5931.689,3.905,0.052,-2493.953,0.697,-86.595,-3.334,1.306,59.378,23.085
162.csv,4.669,7134.229,6.097,0.335,51.382,1.889,21.541,20.326,0.801,34.352,31.109
163.csv,2.371,6215.944,-10.349,0.086,-3001.025,-0.6,-78.931,-30.099,1.079,60.738,0.0
164.csv,4.651,7134.229,5.874,0.319,-94.496,1.841,20.871,14.711,0.826,33.169,33.336
165.csv,4.067,5931.689,15.038,0.341,350.616,2.491,32.381,29.298,0.735,52.494,47.0
166.csv,4.688,6849.974,15.784,0.413,667.464,2.728,47.84,42.735,0.5,44.897,54.357
167.csv,4.216,5647.434,21.367,0.435,1041.068,3.009,52.763,49.863,0.463,55.463,62.351
168.csv,4.693,6849.974,24.38,0.439,1178.585,3.147,57.688,51.655,0.423,51.897,63.277
169.csv,4.699,6849.974,31.953,0.421,1621.51,3.416,63.304,56.869,0.137,55.827,67.837
170.csv,3.483,5647.434,16.321,0.317,105.283,2.638,22.195,43.18,0.677,59.705,52.495
171.csv,4.706,6849.974,50.92,0.422,2708.348,3.856,68.569,69.303,0.087,59.124,71.82
172.csv,4.261,5647.434,41.9,0.438,1992.109,3.703,66.005,67.934,0.228,58.317,71.081
173.csv,3.225,5647.434,39.132,0.226,1081.423,2.891,7.904,20.374,0.745,60.124,42.329
174.csv,4.708,6849.974,65.2,0.434,3420.237,4.082,71.453,72.044,0.076,60.973,74.717
175.csv,3.391,6849.974,52.229,0.127,1199.267,2.414,-32.976,9.186,0.974,57.555,43.673
176.csv,4.682,7134.229,13.879,0.393,633.395,2.604,47.031,41.963,0.41,44.305,54.111
177.csv,4.676,7134.229,15.987,0.394,631.792,2.697,48.637,43.874,0.435,45.898,56.969
178.csv,4.676,7134.229,24.305,0.376,824.327,2.923,50.769,45.914,0.468,47.642,59.253
179.csv,4.682,7134.229,24.629,0.421,1154.016,3.123,58.692,52.697,0.327,53.344,65.896
180.csv,4.682,7134.229,26.593,0.409,1283.158,3.183,60.156,53.867,0.247,54.369,67.395
181.csv,4.179,5931.689,27.387,0.386,1161.147,3.127,55.24,52.781,0.358,56.685,68.487
182.csv,4.682,7134.229,30.468,0.404,1443.915,3.302,62.415,56.139,0.149,56.34,69.602
183.csv,4.664,7134.229,14.908,0.378,535.151,2.606,48.434,36.916,0.448,46.196,58.183
184.csv,4.664,7134.229,23.645,0.416,1130.999,3.006,59.231,46.382,0.314,55.104,69.038
185.csv,4.674,7134.229,24.036,0.432,1220.499,3.068,60.895,54.549,0.316,55.551,69.038
186.csv,4.674,7134.229,31.158,0.387,1603.058,3.311,65.318,58.531,-0.008,59.016,73.432
187.csv,4.673,7134.229,33.317,0.391,1643.055,3.367,66.13,59.326,-0.005,59.772,74.524
188.csv,4.674,7134.229,37.434,0.404,1921.7,3.474,68.325,61.226,-0.024,61.201,76.468
189.csv,4.094,5931.689,15.513,0.32,330.685,2.513,39.661,36.622,0.515,53.695,61.163
190.csv,3.619,5931.689,16.738,0.316,211.387,2.605,38.062,27.787,0.615,59.834,53.907
191.csv,3.595,5931.689,20.648,0.308,373.391,2.736,40.155,30.724,0.633,60.014,58.183
192.csv,3.283,5931.689,16.648,0.216,-112.283,2.343,10.951,15.484,0.644,59.98,45.063
193.csv,4.657,7134.229,45.912,0.378,2401.502,3.595,70.507,56.118,-0.194,63.718,81.282
194.csv,4.181,5931.689,45.576,0.372,2360.722,3.567,69.067,55.639,0.081,59.937,81.282
195.csv,2.733,5931.689,44.62,0.246,1921.734,3.134,35.834,35.02,0.673,60.738,67.823
196.csv,2.575,5931.689,44.394,0.21,1760.739,2.924,21.757,10.487,0.716,60.738,44.633
197.csv,2.787,5931.689,43.808,0.192,1266.864,2.792,11.496,14.07,0.746,60.726,50.66
198.csv,4.658,7134.229,62.73,0.349,3577.24,3.888,72.337,57.676,-0.213,64.698,82.919
199.csv,2.047,5931.689,41.981,0.061,-160.851,1.646,-54.128,-12.906,1.109,60.738,30.101
200.csv,2.052,5931.689,42.131,0.054,-214.389,1.631,-54.351,-16.764,1.114,60.738,22.034
201.csv,1.898,5931.689,43.227,0.001,-791.037,1.081,-91.271,-25.648,1.212,60.738,12.361
202.csv,2.022,5931.689,53.244,-0.007,-372.904,0.971,-110.519,-23.3,1.239,60.733,16.845
203.csv,4.645,7134.229,89.367,0.369,5081.937,4.159,75.923,60.685,-0.165,66.957,88.966
204.csv,2.378,5931.689,51.366,0.084,417.812,2.047,-39.7,-5.854,1.003,60.729,37.532
205.csv,3.242,7134.229,54.81,0.074,599.621,2.019,-44.899,1.07,0.92,59.792,50.759
206.csv,4.645,7134.229,100.842,0.381,5638.451,4.283,77.284,61.822,-0.173,67.463,90.339
207.csv,2.179,5931.689,41.923,0.098,170.354,1.933,-31.879,-16.94,1.078,60.738,21.483
208.csv,2.316,5931.689,51.628,0.063,497.283,1.837,-51.09,-13.544,1.086,60.728,27.556
209.csv,2.937,5931.689,100.752,0.327,5753.702,4.048,62.354,58.083,0.547,60.738,90.665
210.csv,2.697,5931.689,-6.659,0.133,-1362.98,0.241,-44.429,-8.918,1.072,60.738,1.146
211.csv,4.676,7134.229,9.88,0.278,242.617,2.248,35.875,32.445,0.621,38.019,44.488
212.csv,2.519,5931.689,3.038,0.01,-3097.643,0.375,-104.173,-9.626,1.345,59.563,20.936
213.csv,4.202,5931.689,34.258,0.323,1038.389,3.16,56.69,52.775,0.482,56.615,67.753
214.csv,4.702,6849.974,50.533,0.345,2679.806,3.876,75.145,75.159,-0.107,63.637,79.023
215.csv,4.672,7134.229,29.952,0.314,1353.675,3.268,65.856,58.926,0.112,59.536,74.565
216.csv,4.672,7134.229,39.051,0.319,1827.765,3.492,70.396,62.962,-0.022,62.701,79.141
217.csv,2.142,5931.689,40.652,0.064,214.861,1.939,-32.797,-6.571,1.03,60.738,33.901
218.csv,3.032,5931.689,49.415,0.11,792.168,2.565,-2.201,5.486,0.725,60.508,46.918
219.csv,2.052,5931.689,52.002,-0.028,-650.397,1.131,-99.257,-19.978,1.203,60.734,22.624
220.csv,2.779,5931.689,5.405,0.033,-2054.561,0.957,-78.29,-3.289,1.293,58.908,15.3
221.csv,4.675,7134.229,12.045,0.31,309.158,2.373,21.37,19.775,0.733,34.84,30.337
222.csv,2.351,6215.944,-10.565,0.038,-3118.652,-0.673,-79.351,-29.358,1.082,60.738,0.0
223.csv,4.084,5931.689,15.73,0.29,402.183,2.548,27.274,25.063,0.725,50.409,40.857
224.csv,4.681,7134.229,14.039,0.32,606.747,2.62,35.912,31.833,0.414,37.971,42.677
225.csv,4.662,7134.229,24.204,0.353,1124.016,3.023,51.796,39.957,0.288,49.105,61.88
226.csv,3.909,7134.229,22.695,0.189,337.209,2.527,23.573,18.243,0.602,54.389,53.343
227.csv,2.092,5931.689,43.348,-0.017,-839.698,1.048,-103.427,-13.566,1.179,60.722,20.945
228.csv,2.063,5931.689,53.085,-0.019,-140.853,1.154,-107.914,-16.742,1.2,60.725,18.303
229.csv,3.339,5931.689,98.28,0.27,5730.299,4.159,63.27,54.86,0.347,60.73,83.245
230.csv,4.711,6849.974,13.028,0.39,599.539,2.402,45.513,47.026,0.845,43.556,48.615
231.csv,4.709,6849.974,17.315,0.424,725.797,2.585,48.894,50.456,0.872,45.432,52.344
232.csv,2.332,6215.944,-10.709,0.047,-3349.964,-0.816,-69.91,-30.209,1.086,60.738,0.0
233.csv,4.666,7134.229,17.438,0.37,355.125,2.76,65.885,59.203,0.605,60.243,75.553
234.csv,4.684,6849.974,18.84,0.394,667.31,2.853,70.099,62.737,0.435,61.593,76.78
235.csv,4.688,6849.974,33.608,0.523,1579.748,3.404,79.904,71.769,0.114,66.998,85.818
236.csv,3.245,5647.434,41.908,0.487,1752.597,3.43,62.025,59.24,0.493,60.734,76.672
237.csv,4.269,5647.434,50.84,0.681,2578.438,3.883,86.46,86.327,0.05,61.612,90.29
238.csv,2.63,5931.689,43.521,0.378,1631.887,3.059,39.861,33.968,0.656,60.738,68.887
239.csv,2.137,5931.689,51.318,0.03,210.73,1.487,-70.459,-8.199,1.157,60.736,41.02
240.csv,4.71,6849.974,11.552,0.557,409.648,2.354,44.381,46.055,0.747,43.03,47.399
241.csv,4.71,6849.974,15.051,0.555,588.609,2.511,47.016,48.68,0.843,44.422,50.393
242.csv,2.917,5931.689,6.554,0.159,-1578.197,1.322,-34.396,4.026,1.216,59.841,37.794
243.csv,4.207,5647.434,20.315,0.557,881.164,2.967,68.441,63.341,0.38,59.538,78.286
244.csv,4.684,6849.974,26.032,0.552,1151.384,3.194,74.489,66.76,0.245,64.409,81.206
245.csv,4.684,6849.974,32.612,0.536,1522.976,3.36,76.744,68.81,0.134,65.675,83.46
246.csv,4.22,5931.689,37.423,0.527,1848.573,3.478,79.725,71.511,0.129,61.203,88.334
247.csv,3.323,5931.689,19.254,0.317,-107.842,2.419,31.3,23.571,0.665,60.554,58.843
248.csv,4.662,7134.229,78.308,0.554,4411.27,4.139,85.741,69.018,-0.247,69.544,95.799
249.csv,2.195,5931.689,49.948,0.15,614.746,2.287,-16.039,10.312,0.988,60.738,52.514
250.csv,2.532,5931.689,-8.956,0.142,-1747.044,0.044,-64.837,-13.249,1.078,60.738,0.0
251.csv,2.607,5931.689,3.716,0.027,-2638.14,0.641,-91.324,-10.063,1.314,59.422,16.879
252.csv,3.281,5647.434,13.9,0.246,-357.725,2.342,5.625,26.31,0.742,59.759,41.011
253.csv,3.671,5647.434,42.193,0.347,1873.123,3.496,55.231,52.132,0.479,60.43,64.593
254.csv,3.196,5647.434,38.371,0.202,1076.023,2.83,10.889,20.628,0.761,60.354,46.968
255.csv,4.681,7134.229,14.191,0.351,641.868,2.622,46.935,41.568,0.408,44.004,53.829
256.csv,4.681,7134.229,25.008,0.395,1164.871,3.137,61.999,55.466,0.325,55.846,69.252
257.csv,2.191,5931.689,41.947,0.026,-391.301,1.417,-67.619,-15.574,1.11,60.734,27.188
258.csv,4.658,7134.229,85.993,0.391,5125.414,4.191,83.037,66.647,-0.233,68.945,93.715
259.csv,2.016,5931.689,51.017,0.042,112.737,1.745,-56.592,-12.565,1.114,60.738,30.888
260.csv,2.565,5931.689,-8.531,0.151,-1632.838,0.09,-60.455,-12.198,1.077,60.738,0.0
261.csv,4.698,6849.974,6.338,0.343,183.33,1.888,7.981,4.218,0.846,40.852,12.431
262.csv,4.69,6849.974,13.067,0.337,231.806,2.331,17.38,14.786,0.869,36.815,23.826
263.csv,4.709,6849.974,12.932,0.38,504.922,2.426,21.747,23.974,0.745,38.822,24.846
264.csv,4.711,6849.974,14.881,0.37,491.588,2.534,22.987,25.058,0.776,39.022,25.69
265.csv,4.71,6849.974,17.288,0.377,746.784,2.602,26.108,28.018,0.862,38.682,29.112
266.csv,4.71,6849.974,19.336,0.362,890.673,2.657,27.108,28.931,0.829,38.675,30.05
267.csv,4.711,6849.974,21.729,0.37,956.258,2.73,29.009,30.573,0.831,38.877,31.741
268.csv,4.711,6849.974,28.444,0.367,1191.794,2.874,31.617,33.244,0.834,39.109,34.475
269.csv,4.674,7134.229,4.951,0.311,-11.41,1.733,1.101,1.336,0.878,40.383,9.373
